[2016-02-20 16:10:16.043] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-24
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-21
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-20
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-19
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-18
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-14
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-13
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-12
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-11
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-10
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-07
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-06
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-05
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-04
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-02-03
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-01-31
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-01-30
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-01-29
[2016-02-20 16:10:16.044] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-01-28
